Record No,P,Q ,R,S,T
1,91.6,100,100,100,90
2,100,100,100,100,100
3,100,100,100,100,100
4,100,100,100,100,100
5,78.5,100,80,100,100
6,100,82.35,82.35,87.5,100
7,90,100,100,100,90
8,100,100,100,100,100
9,100,80,80,80,85
10,100,100,100,100,100
11,100,76.19,76.19,76.19,94.54
12,93.75,93.75,93.75,93.75,93.75
13,100,100,100,100,100
14,100,100,100,100,100
15,100,92.85,92.85,92.85,100
16,100,100,100,100,100
17,100,100,100,100,100
18,100,100,100,100,100
19,87.5,100,100,100,100
20,100,100,100,100,100
